siteID,class,date,quadrant,transect_unit,species_code,species_name,percent_cover,height_cm,notes
Site-001,Closed-Dry,2022-06-21,E,1,Berner,Berberis nervosa,1,,
Site-001,Closed-Dry,2022-06-21,E,1,Gausha,Gaultheria shallon,85,85,
Site-001,Closed-Dry,2022-06-21,E,1,Kinore,Kindbergia oregana,25,,
Site-001,Closed-Dry,2022-06-21,E,2,Berner,Berberis nervosa,5,,
Site-001,Closed-Dry,2022-06-21,E,2,Gausha,Gaultheria shallon,90,140,
Site-001,Closed-Dry,2022-06-21,E,2,Kinore,Kindbergia oregana,17,,
Site-001,Closed-Dry,2022-06-21,E,2,Pteaqu,Pteridium aquilinum,3,,
Site-001,Closed-Dry,2022-06-21,E,3,Gausha,Gaultheria shallon,95,140,
Site-001,Closed-Dry,2022-06-21,E,3,Kinore,Kindbergia oregana,10,,
Site-001,Closed-Dry,2022-06-21,E,4,Gausha,Gaultheria shallon,90,110,
Site-001,Closed-Dry,2022-06-21,E,4,Kinore,Kindbergia oregana,5,,
Site-001,Closed-Dry,2022-06-21,E,5,Gausha,Gaultheria shallon,85,110,
Site-001,Closed-Dry,2022-06-21,E,5,Kinore,Kindbergia oregana,5,,
Site-001,Closed-Dry,2022-06-21,N,1,Gausha,Gaultheria shallon,80,14,"recovering W. hemlock, significant salal groundcover"
Site-001,Closed-Dry,2022-06-21,N,1,Kinore,Kindbergia oregana,13.7,,
Site-001,Closed-Dry,2022-06-21,N,1,Tsuhet,Tsuga heterophylla,10,,
Site-001,Closed-Dry,2022-06-21,N,2,Gausha,Gaultheria shallon,65,130,
Site-001,Closed-Dry,2022-06-21,N,2,Kinore,Kindbergia oregana,15,,
Site-001,Closed-Dry,2022-06-21,N,2,Tsuhet,Tsuga heterophylla,40,,
Site-001,Closed-Dry,2022-06-21,N,3,Gausha,Gaultheria shallon,78,105,
Site-001,Closed-Dry,2022-06-21,N,3,Kinore,Kindbergia oregana,15,,
Site-001,Closed-Dry,2022-06-21,N,3,Tsuhet,Tsuga heterophylla,12,,
Site-001,Closed-Dry,2022-06-21,N,4,Berner,Berberis nervosa,3,,
Site-001,Closed-Dry,2022-06-21,N,4,Gausha,Gaultheria shallon,95,110,
Site-001,Closed-Dry,2022-06-21,N,4,Kinore,Kindbergia oregana,15,,
Site-001,Closed-Dry,2022-06-21,N,5,Gausha,Gaultheria shallon,90,100,
Site-001,Closed-Dry,2022-06-21,N,5,Isosto,Isothecium stoloniferum,0.5,,
Site-001,Closed-Dry,2022-06-21,N,5,Kinore,Kindbergia oregana,7,,
Site-001,Closed-Dry,2022-06-21,S,1,Gausha,Gaultheria shallon,95,110,
Site-001,Closed-Dry,2022-06-21,S,1,Kinore,Kindbergia oregana,2,,
Site-001,Closed-Dry,2022-06-21,S,1,Pteaqu,Pteridium aquilinum,5,,
Site-001,Closed-Dry,2022-06-21,S,2,Berner,Berberis nervosa,0.5,,
Site-001,Closed-Dry,2022-06-21,S,2,Gausha,Gaultheria shallon,80,115,
Site-001,Closed-Dry,2022-06-21,S,2,Kinore,Kindbergia oregana,20,,
Site-001,Closed-Dry,2022-06-21,S,2,Pteaqu,Pteridium aquilinum,1,,
Site-001,Closed-Dry,2022-06-21,S,3,Gausha,Gaultheria shallon,80,100,
Site-001,Closed-Dry,2022-06-21,S,3,Kinore,Kindbergia oregana,10,,
Site-001,Closed-Dry,2022-06-21,S,3,Pteaqu,Pteridium aquilinum,5,,
Site-001,Closed-Dry,2022-06-21,S,4,Gausha,Gaultheria shallon,75,125,
